"","Dolphin.ID","Birth.Date","Death.Date","Sex","total.num.sightings","gap","time","event","trunc.time","first.sight.date","last.sight.date"
"101",101,2015-11-01,2016-05-11,"Unknown",6,0.396988364134155,0.525667351129363,1,0,2015-11-24,2016-04-26
"102",102,1985-01-01,1985-07-13,"Unknown",2,0.027378507871321,0.528405201916496,1,0,1985-06-29,1985-07-09
"103",103,2008-01-12,2008-07-23,"Male",4,0.0328542094455852,0.528405201916496,1,0,2008-06-16,2008-07-17
"104",104,2004-12-01,2005-06-13,"Unknown",6,0.0739219712525667,0.531143052703628,1,0,2005-03-19,2005-05-17
"105",105,1988-11-01,1989-05-18,"Unknown",0,NA,0.542094455852156,1,0,NA,NA
"106",106,2010-10-15,2011-05-01,"Unknown",0,NA,0.542094455852156,1,0,NA,NA
"107",107,1994-11-01,1995-05-19,"Unknown",0,NA,0.544832306639288,1,0,NA,NA
"108",108,1991-09-03,1992-03-25,"Female",35,0.0574948665297741,0.558521560574949,1,0,1991-09-03,1991-12-08
"109",109,2018-01-01,2018-07-26,"Unknown",1,NA,0.563997262149213,1,0,2018-06-26,2018-06-26
"110",110,2000-01-01,2000-07-28,"Unknown",2,0.0136892539356605,0.572210814510609,1,0,2000-05-23,2000-05-28
"111",111,2004-09-30,2005-05-01,"Unknown",4,0.0629705681040383,0.583162217659138,1,0,2004-10-04,2004-11-16
"112",112,1989-12-01,1990-07-07,"Unknown",1,NA,0.596851471594798,1,0,1990-04-29,1990-04-29
"113",113,2014-03-06,2014-10-11,"Unknown",0,NA,0.59958932238193,1,0,NA,NA
"114",114,2010-09-23,2011-05-01,"Unknown",3,0.0657084188911704,0.602327173169062,1,0,2010-10-07,2010-11-01
"115",115,1993-12-01,1994-07-11,"Male",22,0.101300479123888,0.607802874743327,1,0,1994-03-10,1994-07-09
"116",116,2013-09-01,2014-04-11,"Unknown",3,0.0164271047227926,0.607802874743327,1,0,2013-10-14,2013-10-25
"117",117,1993-11-01,1994-06-16,"Unknown",3,0.027378507871321,0.621492128678987,1,0,1994-05-05,1994-05-21
"118",118,2009-12-01,2010-07-17,"Unknown",1,NA,0.624229979466119,1,0,2010-05-17,2010-05-17
"119",119,2001-09-10,2002-05-01,"Unknown",1,NA,0.63791923340178,1,0,2001-09-20,2001-09-20
"120",120,1992-11-01,1993-06-25,"Unknown",1,NA,0.646132785763176,1,0,1993-04-10,1993-04-10
